office,country,province,muni,name,idsrc,party,id,url,archived_url,interest,session
nc house district 091,United States,NC,,Kyle Hall,ncid,REP,EA41524,https://www.ncleg.gov/Members/Biography/H/704,https://archive.ph/CEVSK,,2025
nc house district 093,United States,NC,,Ray Pickett,ncid,REP,EL14932,https://www.ncleg.gov/Members/Biography/H/772,https://archive.ph/KE2k8,,2025
nc house district 094,United States,NC,,Blair Eddins (Republican),ncid,REP,EH457597,https://www.ncleg.gov/Members/Biography/H/825,https://archive.ph/mW6ut,,2025
nc house district 095,United States,NC,,Todd Carver,ncid,REP,CG12487,https://www.ncleg.gov/Members/Biography/H/842,https://archive.ph/kQJPw,,2025
nc house district 097,United States,NC,,Heather H. Rhyne,ncid,REP,CN54308,https://www.ncleg.gov/Members/Biography/H/823,https://archive.ph/Btrwz,F,2025
nc house district 108,United States,NC,,John A. Torbett,ncid,REP,BR60559,https://www.ncleg.gov/Members/Biography/H/606,https://archive.ph/bSWXH,,2025
nc house district 109,United States,NC,,Donnie Loftis,ncid,REP,BR74995,https://www.ncleg.gov/Members/Biography/H/788,https://archive.ph/5Uh2E,,2025
nc house district 110,United States,NC,,Kelly E. Hastings,ncid,REP,BB24114,https://www.ncleg.gov/Members/Biography/H/618,https://archive.ph/OD1bW,,2025
nc house district 111,United States,NC,,Paul Scott,ncid,REP,EH760180,https://www.ncleg.gov/Members/Biography/H/841,https://archive.ph/Thh1W,,2025
nc house district 113,United States,NC,,Jake Johnson,ncid,REP,DM30612,https://www.ncleg.gov/Members/Biography/H/762,https://archive.ph/67cj4,,2025
nc house district 117,United States,NC,,Jennifer Balkcom (Rep),ncid,REP,CC66913,https://www.ncleg.gov/Members/Biography/H/820,https://archive.ph/gnIgf,F,2025
nc house district 119,United States,NC,,Mike Clampitt,ncid,REP,EC15864,https://www.ncleg.gov/Members/Biography/H/715,https://archive.ph/7y6hL,,2025
nc senate district 02,United States,NC,,Norman W. Sanderson,ncid,REP,DF14853,https://www.ncleg.gov/Members/Biography/S/375,https://archive.ph/17npj,,
nc senate district 04,United States,NC,,Buck Newton,ncid,REP,EP23735,https://www.ncleg.gov/Members/Biography/S/443,https://archive.ph/eb6FE,,
nc senate district 10,United States,NC,,Benton G. Sawrey,ncid,REP,CJ113023,https://www.ncleg.gov/Members/Biography/S/445,https://archive.ph/F40m7,,
nc senate district 12,United States,NC,,Jim Burgin,ncid,REP,CA4215,https://www.ncleg.gov/Members/Biography/S/412,https://archive.ph/rMthL,,
nc senate district 25,United States,NC,,Amy S. Galey,ncid,REP,AA164339,https://www.ncleg.gov/Members/Biography/S/429,https://archive.ph/WknGe,F,
nc senate district 31,United States,NC,,Dana Jones,ncid,REP,BN155739,https://www.ncleg.gov/Members/Biography/S/449,https://archive.ph/LJwiz,F,
nc senate district 46,United States,NC,,Warren Daniel,ncid,REP,AM42379,https://www.ncleg.gov/Members/Biography/S/295,https://archive.ph/NnDrY,,
nc senate district 47,United States,NC,,Ralph Hise,ncid,REP,CX11011,https://www.ncleg.gov/Members/Biography/S/298,https://archive.ph/Clzck,,
nc senate district 48,United States,NC,,Timothy D. Moffitt,ncid,REP,AL41786,https://www.ncleg.gov/Members/Biography/S/438,https://archive.ph/6TtAN,,
